iter	Logloss
0	0.4985091213
1	0.4148426858
2	0.3425638253
3	0.2990659339
4	0.2759901792
5	0.2478777865
6	0.2395994214
7	0.2251739638
8	0.2174729213
9	0.2080260887
10	0.2028287572
11	0.2010976532
12	0.195920342
13	0.1954368221
14	0.1917029877
15	0.1896256156
16	0.1857611659
17	0.1840859143
18	0.1815066908
19	0.1808913585
20	0.1797436844
21	0.1783225966
22	0.1765167224
23	0.1753010023
24	0.1740042591
25	0.1736171369
26	0.1732282265
27	0.1720319652
28	0.1715663978
29	0.1708758862
30	0.1700823744
31	0.1691930562
32	0.1681301204
33	0.1673752072
34	0.1665513361
35	0.1662780303
36	0.1656419953
37	0.1649830025
38	0.1644381921
39	0.1639023484
40	0.1632474475
41	0.1626783307
42	0.1621022772
43	0.1616699851
44	0.1612013843
45	0.1610300268
46	0.160627546
47	0.1601233552
48	0.159794627
49	0.1593986032
50	0.1589426479
51	0.1585740243
52	0.1581359246
53	0.1577961671
54	0.157482043
55	0.157365162
56	0.1571133451
57	0.1568168855
58	0.1564166597
59	0.1561415514
60	0.1558083969
61	0.1555258462
62	0.1552578202
63	0.1550976421
64	0.154831863
65	0.1545362011
66	0.1542431407
67	0.1539320736
68	0.1536666654
69	0.1534225248
70	0.1531667223
71	0.1529536122
72	0.1527056634
73	0.1526081845
74	0.1523303005
75	0.1521449337
76	0.151916922
77	0.1517448731
78	0.1515502364
79	0.1513287468
80	0.1510780256
81	0.1508770532
82	0.1506782017
83	0.1504909197
84	0.1504149233
85	0.1502997949
86	0.1500981928
87	0.1499258472
88	0.1498209539
89	0.1496937659
90	0.149518883
91	0.1494595167
92	0.1492573429
93	0.1490914851
94	0.1490438424
95	0.1488491297
96	0.1486431614
97	0.1484718873
98	0.148305529
99	0.1481506432
100	0.1479609946
101	0.147866786
102	0.1477074362
103	0.1475392918
104	0.1473753749
105	0.1472312141
106	0.1470716513
107	0.1469350154
108	0.1468606481
109	0.1467782013
110	0.1466017013
111	0.1465639331
112	0.1464066199
113	0.1462755052
114	0.1461302001
115	0.1460463853
116	0.1459205207
117	0.1457780484
118	0.145617164
119	0.1454937514
120	0.1453556367
121	0.1453206099
122	0.1451869347
123	0.1450573187
124	0.1449224528
125	0.1448517896
126	0.1447041407
127	0.1446417138
128	0.1445277245
129	0.1443856926
130	0.1442744655
131	0.144174272
132	0.1441464692
133	0.1440351939
134	0.1439053617
135	0.1437722578
136	0.1436784199
137	0.1435727285
138	0.1434515171
139	0.1434270078
140	0.1433500242
141	0.1432373455
142	0.1431894373
143	0.1430757124
144	0.142948322
145	0.142831657
146	0.1427207857
147	0.1425952507
148	0.1424589919
149	0.1423577406
150	0.1422461082
151	0.1421600418
152	0.1420964952
153	0.1419882453
154	0.1418897163
155	0.1417987827
156	0.1416925321
157	0.1415782923
158	0.1414756949
159	0.1413818694
160	0.1412926024
161	0.1412005725
162	0.1410994048
163	0.1410813262
164	0.1409880334
165	0.1409379712
166	0.1408483975
167	0.1407611771
168	0.1407060434
169	0.1406219422
170	0.1405251424
171	0.1404334702
172	0.1403467476
173	0.1403298349
174	0.1402225242
175	0.1401469932
176	0.1400602491
177	0.1399832992
178	0.1399117678
179	0.1398303185
180	0.1397765807
181	0.1396830164
182	0.1396009601
183	0.1395189432
184	0.1394301641
185	0.1393497746
186	0.1392835975
187	0.1392120293
188	0.1391248583
189	0.1390302467
190	0.1389475824
191	0.1388810624
192	0.138806364
193	0.1387545381
194	0.1387412675
195	0.1386722715
196	0.1385964295
197	0.1385308376
198	0.1384864758
199	0.1384192169
200	0.1383398637
201	0.1382667362
202	0.1381943203
203	0.1381533881
204	0.1380916529
205	0.1380261284
206	0.1379591181
207	0.1378849681
208	0.1378103872
209	0.1377335358
210	0.1377006592
211	0.1376385198
212	0.1376264633
213	0.1375592499
214	0.1375035704
215	0.1374371191
216	0.1373793093
217	0.1373097272
218	0.1372533595
219	0.1372056653
220	0.1371547608
221	0.137081324
222	0.1370448189
223	0.1369850934
224	0.13692057
225	0.136845192
226	0.1367931781
227	0.1367323604
228	0.1366724912
229	0.1366094906
230	0.1365777142
231	0.1365157836
232	0.1364617705
233	0.1364078419
234	0.1363494383
235	0.1362999225
236	0.1362415442
237	0.1362308678
238	0.1361807089
239	0.1361262576
240	0.1360625689
