iter	Passed	Remaining
0	1	1149
1	3	1093
2	3	790
3	4	633
4	4	548
5	4	487
6	5	439
7	5	434
8	6	408
9	6	382
10	6	360
11	7	376
12	7	359
13	8	344
14	8	330
15	8	319
16	9	310
17	9	302
18	9	294
19	9	287
20	10	280
21	10	273
22	10	267
23	10	263
24	11	258
25	11	253
26	11	249
27	11	244
28	12	240
29	12	235
30	12	231
31	12	228
32	13	225
33	13	222
34	13	218
35	13	216
36	14	214
37	14	211
38	14	209
39	14	207
40	15	205
41	15	203
42	15	201
43	15	200
44	16	199
45	16	197
46	16	195
47	16	194
48	17	194
49	17	192
50	17	191
51	18	190
52	18	188
53	18	187
54	18	185
55	19	185
56	19	184
57	19	182
58	19	181
59	20	180
60	20	178
61	20	177
62	20	176
63	21	176
64	21	175
65	21	174
66	21	173
67	22	173
68	22	171
69	22	170
70	22	169
71	23	169
72	23	168
73	23	167
74	23	167
75	24	166
76	24	166
77	24	165
78	24	164
79	25	163
80	25	163
81	25	162
82	25	161
83	26	160
84	26	159
85	26	158
86	26	158
87	27	157
88	27	156
89	27	156
90	27	155
91	28	154
92	28	154
93	28	153
94	28	153
95	29	153
96	29	152
97	29	151
98	29	151
99	30	150
100	30	149
101	30	148
102	30	148
103	30	147
104	31	146
105	31	146
106	31	145
107	31	145
108	32	144
109	32	144
110	32	144
111	33	144
112	33	143
113	33	143
114	33	143
115	34	142
116	34	142
117	34	141
118	34	140
119	35	140
120	35	139
121	35	139
122	35	138
123	35	138
124	36	137
125	36	137
126	36	137
127	37	136
128	37	136
129	37	135
130	37	135
131	38	135
132	38	135
133	38	134
134	39	134
135	39	134
136	39	134
137	39	133
138	40	133
139	40	132
140	40	132
141	41	132
142	41	131
143	41	131
144	41	130
145	42	130
146	42	130
147	42	130
148	42	129
149	43	129
150	43	128
151	43	128
152	43	128
153	44	127
154	44	127
155	44	126
156	44	126
157	45	126
158	45	125
159	45	125
160	45	124
161	45	124
162	46	123
163	47	125
164	47	124
165	47	125
166	48	124
167	48	124
168	48	123
169	48	123
170	49	123
171	49	122
172	49	122
173	49	122
174	50	121
175	50	121
176	50	121
177	50	120
178	51	120
179	51	120
180	51	119
181	51	119
182	52	118
183	52	118
184	53	119
185	53	119
186	53	118
187	53	118
188	54	117
189	54	117
190	54	117
191	54	116
192	55	116
193	55	115
194	55	115
195	55	115
196	56	114
197	56	114
198	56	114
199	56	113
200	57	113
201	57	112
202	57	112
203	57	112
204	58	111
205	58	111
206	58	110
207	58	110
208	58	110
209	59	109
210	59	109
211	59	108
212	59	108
213	60	108
214	60	108
215	60	107
216	61	107
217	61	107
218	61	107
219	61	106
220	62	106
221	62	106
222	62	106
223	63	105
224	63	105
225	63	105
226	64	105
227	64	104
228	64	104
229	64	104
230	65	103
231	65	103
232	65	103
233	65	102
234	66	102
235	66	102
236	66	102
237	67	102
238	67	101
239	67	101
240	68	101
241	68	101
242	68	101
243	69	100
244	69	100
245	69	100
246	69	99
247	70	99
248	70	99
249	70	98
250	71	98
251	71	98
252	71	98
253	71	97
254	72	97
255	72	97
256	72	97
257	73	96
258	73	96
259	73	96
260	73	95
261	74	95
262	74	95
263	74	94
264	74	94
265	75	94
266	75	94
267	75	93
268	75	93
269	76	93
270	76	92
271	76	92
272	77	92
273	77	91
274	77	91
275	77	91
276	78	91
277	78	90
278	78	90
279	78	90
280	79	89
281	79	89
282	80	90
283	80	89
284	80	89
285	81	89
286	81	88
287	81	88
288	82	88
289	82	87
290	82	87
291	82	87
292	83	87
293	83	86
294	83	86
295	83	86
296	84	85
297	84	85
298	84	85
299	85	85
300	85	84
301	85	84
302	85	84
303	86	83
304	86	83
305	86	83
306	87	83
307	87	83
308	87	82
309	88	82
310	88	82
311	88	82
312	89	81
313	89	81
314	89	81
315	89	80
316	90	80
317	90	80
318	90	80
319	91	79
320	91	79
321	91	79
322	92	79
323	92	78
324	92	78
325	93	78
326	93	78
327	93	77
328	94	77
329	94	77
330	94	77
331	95	76
332	95	76
333	95	76
334	95	75
335	96	75
336	96	75
337	96	75
338	97	74
339	97	74
340	97	74
341	98	73
342	98	73
343	98	73
344	99	73
345	99	72
346	99	72
347	100	72
348	100	72
349	100	72
350	101	71
351	101	71
352	101	71
353	102	71
354	102	70
355	102	70
356	103	70
357	103	69
358	103	69
359	104	69
360	104	69
361	104	68
362	105	68
363	105	68
364	105	68
365	106	67
366	106	67
367	106	67
368	106	66
369	107	66
370	107	66
371	107	66
372	108	65
373	108	65
374	108	65
375	109	65
376	109	64
377	109	64
378	110	64
379	110	63
380	110	63
381	111	63
382	111	63
383	111	62
384	112	62
385	112	62
386	112	62
387	112	61
388	113	61
389	113	61
390	113	60
391	114	60
392	114	60
393	114	59
394	114	59
395	115	59
396	115	59
397	115	58
398	116	58
399	116	58
400	116	57
401	116	57
402	117	57
403	117	57
404	117	56
405	118	56
406	118	56
407	118	55
408	119	55
409	119	55
410	119	55
411	120	54
412	120	54
413	120	54
414	121	54
415	121	53
416	121	53
417	122	53
418	122	52
419	122	52
420	123	52
421	123	52
422	123	51
423	124	51
424	124	51
425	124	50
426	125	50
427	125	50
428	125	50
429	126	49
430	126	49
431	126	49
432	126	48
433	127	48
434	127	48
435	127	48
436	128	47
437	128	47
438	128	47
439	129	46
440	129	46
441	129	46
442	129	46
443	130	45
444	130	45
445	130	45
446	131	44
447	131	44
448	132	44
449	132	44
450	133	44
451	133	43
452	133	43
453	134	43
454	134	42
455	134	42
456	135	42
457	135	41
458	135	41
459	135	41
460	136	41
461	136	40
462	136	40
463	137	40
464	137	39
465	137	39
466	138	39
467	138	39
468	138	38
469	139	38
470	139	38
471	139	37
472	139	37
473	140	37
474	140	36
475	140	36
476	140	36
477	141	36
478	141	35
479	141	35
480	142	35
481	142	34
482	142	34
483	143	34
484	143	33
485	143	33
486	144	33
487	144	33
488	144	32
489	144	32
490	145	32
491	145	31
492	145	31
493	146	31
494	146	31
495	146	30
496	147	30
497	147	30
498	147	29
499	148	29
500	148	29
501	148	29
502	148	28
503	149	28
504	149	28
505	149	27
506	150	27
507	150	27
508	150	26
509	151	26
510	151	26
511	151	26
512	151	25
513	152	25
514	152	25
515	152	24
516	153	24
517	153	24
518	153	23
519	153	23
520	154	23
521	154	23
522	154	22
523	155	22
524	155	22
525	155	21
526	156	21
527	156	21
528	156	21
529	156	20
530	157	20
531	157	20
532	158	19
533	158	19
534	158	19
535	159	18
536	159	18
537	159	18
538	160	18
539	160	17
540	160	17
541	160	17
542	161	16
543	161	16
544	161	16
545	162	16
546	162	15
547	162	15
548	163	15
549	163	14
550	163	14
551	163	14
552	164	13
553	164	13
554	164	13
555	165	13
556	165	12
557	165	12
558	165	12
559	166	11
560	166	11
561	167	11
562	167	10
563	167	10
564	167	10
565	168	10
566	168	9
567	168	9
568	168	9
569	169	8
570	169	8
571	169	8
572	170	8
573	170	7
574	170	7
575	171	7
576	171	6
577	171	6
578	171	6
579	172	5
580	172	5
581	172	5
582	173	5
583	173	4
584	173	4
585	173	4
586	174	3
587	174	3
588	174	3
589	175	2
590	175	2
591	175	2
592	175	2
593	176	1
594	186	1
595	186	1
596	186	0
597	187	0
598	187	0
599	187	0
