passengerid,survived,pclass,AccessToLifeboat,hasfamily,agebins,farebins,farebinssurvived,Title_Mr,Title_Miss,Title_Mrs,Title_Master,Title_Rare,male,FemAndChild,Q,S
0,0,2,0,0.0,2,2,1.0,1,0,0,0,0,1,0,0,1
1,0,3,0,0.0,2,1,1.0,0,1,0,0,0,0,1,1,0
2,1,1,1,1.0,5,7,0.0,0,0,1,0,0,0,1,0,1
3,1,3,1,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
4,0,2,0,1.0,4,5,1.0,1,0,0,0,0,1,0,0,1
5,0,3,0,1.0,4,4,0.0,0,0,1,0,0,0,1,0,1
6,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,0,0
7,1,3,1,0.0,1,1,1.0,0,1,0,0,0,0,1,1,0
8,0,2,0,0.0,3,2,1.0,1,0,0,0,0,1,0,0,1
9,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
10,1,1,1,1.0,3,7,0.0,0,0,1,0,0,0,1,0,1
11,0,3,0,0.0,1,1,1.0,0,1,0,0,0,0,1,0,1
12,1,2,1,0.0,2,2,1.0,0,1,0,0,0,0,1,0,1
13,0,3,0,1.0,0,6,0.0,0,1,0,0,0,0,1,0,1
14,1,2,1,0.0,4,2,1.0,0,1,0,0,0,0,1,0,1
15,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
16,0,3,0,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
17,0,2,0,1.0,4,5,1.0,0,0,1,0,0,0,1,0,1
18,1,1,1,1.0,4,5,1.0,0,0,1,0,0,0,1,0,1
19,0,2,0,0.0,3,2,1.0,1,0,0,0,0,1,0,0,1
20,0,2,0,0.0,1,10,0.0,1,0,0,0,0,1,0,0,1
21,0,3,0,0.0,6,1,1.0,1,0,0,0,0,1,0,0,1
22,0,3,0,0.0,4,1,1.0,1,0,0,0,0,1,0,0,1
23,0,3,0,1.0,1,1,1.0,1,0,0,0,0,1,0,0,1
24,1,3,1,0.0,2,1,1.0,0,1,0,0,0,0,1,1,0
25,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
26,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,0
27,0,2,0,0.0,2,3,0.0,1,0,0,0,0,1,0,0,0
28,1,3,0,1.0,1,5,1.0,0,1,0,0,0,0,1,0,1
29,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
30,1,3,1,1.0,1,3,0.0,1,0,0,0,0,1,0,0,0
31,0,2,0,0.0,2,2,1.0,1,0,0,0,0,1,0,0,1
32,1,1,1,1.0,1,5,1.0,0,1,0,0,0,0,1,0,1
33,0,2,0,0.0,3,10,0.0,1,0,0,0,0,1,0,0,1
34,1,3,1,0.0,2,1,1.0,0,1,0,0,0,0,1,0,1
35,0,2,0,1.0,1,5,1.0,1,0,0,0,0,1,0,0,1
36,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
37,1,3,1,1.0,0,4,0.0,0,0,0,1,0,1,1,0,1
38,0,2,0,0.0,1,2,1.0,1,0,0,0,0,1,0,0,1
39,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,0
40,0,3,0,0.0,1,0,0.0,1,0,0,0,0,1,0,0,0
41,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
42,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
43,1,2,1,1.0,2,5,1.0,0,0,1,0,0,0,1,0,0
44,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
45,1,1,1,1.0,3,8,0.0,0,0,1,0,0,0,1,0,1
46,0,3,0,1.0,0,5,1.0,0,1,0,0,0,0,1,0,1
47,0,3,1,1.0,3,2,1.0,1,0,0,0,0,1,0,0,0
48,0,2,0,0.0,3,2,1.0,1,0,0,0,0,1,0,0,1
49,0,3,0,0.0,3,1,1.0,1,0,0,0,0,1,0,0,1
50,0,2,0,0.0,2,2,1.0,1,0,0,0,0,1,0,0,1
51,0,3,0,0.0,1,10,0.0,1,0,0,0,0,1,0,0,1
52,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,0,0
53,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,0,1
54,0,1,0,0.0,3,10,0.0,1,0,0,0,0,1,0,0,1
55,0,3,0,0.0,1,1,1.0,1,0,0,0,0,1,0,1,0
56,1,2,1,1.0,1,5,1.0,0,0,1,0,0,0,1,0,1
57,0,3,0,0.0,2,4,0.0,1,0,0,0,0,1,0,0,1
58,1,1,1,0.0,2,8,0.0,0,1,0,0,0,0,1,0,1
59,0,2,0,0.0,2,3,0.0,1,0,0,0,0,1,0,0,0
60,0,3,0,0.0,2,4,0.0,1,0,0,0,0,1,0,1,0
61,0,1,0,0.0,5,5,1.0,1,0,0,0,0,1,0,0,0
62,1,3,1,0.0,1,1,1.0,1,0,0,0,0,1,0,0,0
63,0,3,0,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
64,0,1,0,0.0,5,5,1.0,0,0,0,0,1,1,0,0,1
65,1,3,1,0.0,2,1,1.0,1,0,0,0,0,1,0,0,1
66,0,1,0,1.0,2,7,0.0,1,0,0,0,0,1,0,0,0
67,0,1,0,1.0,5,6,0.0,1,0,0,0,0,1,0,0,0
