Rank,mwscore,wscorestd
0,261,380
1,732,322
2,549,414
3,833,250
4,252,346
5,570,422
6,467,419
7,123,274
8,435,423
9,674,347
10,818,286
11,805,288
12,53,173
13,390,421
14,483,414
15,625,372
16,510,426
17,440,410
18,267,394
19,781,314
20,836,238
21,580,404
22,517,400
23,768,306
24,616,377
25,217,351
26,778,308
27,714,342
28,768,320
29,417,441
30,489,411
31,569,395
32,824,286
33,596,409
34,640,372
35,839,253
36,819,280
37,189,321
38,299,392
39,277,406
40,618,398
41,746,318
42,475,438
43,377,436
44,636,399
45,767,322
46,711,368
47,311,410
48,323,369
