순위,영화명,개봉일,매출액,"매출액
점유율",관객수,스크린수,상영횟수
1,극한직업,2019-01-23,"139,651,845,516",7.3%,"16,265,618","2,003","292,584"
2,어벤져스: 엔드게임,2019-04-24,"122,182,694,160",6.4%,"13,934,592","2,835","242,001"
3,겨울왕국 2,2019-11-21,"111,596,248,720",5.8%,"13,369,064","2,648","282,557"
4,알라딘,2019-05-23,"106,955,138,359",5.6%,"12,552,283","1,409","266,469"
5,기생충,2019-05-30,"85,883,963,645",4.5%,"10,085,275","1,948","192,855"
6,엑시트,2019-07-31,"79,232,012,162",4.1%,"9,426,011","1,660","202,223"
7,스파이더맨: 파 프롬 홈,2019-07-02,"69,010,000,100",3.6%,"8,021,145","2,142","180,474"
8,백두산,2019-12-19,"52,905,789,770",2.8%,"6,290,502","1,971","99,915"
9,캡틴 마블,2019-03-06,"51,507,488,723",2.7%,"5,802,810","2,100","186,382"
10,조커,2019-10-02,"45,381,075,450",2.4%,"5,247,874","1,418","147,380"
11,봉오동 전투,2019-08-07,"40,588,648,538",2.1%,"4,787,538","1,476","107,030"
12,라이온 킹,2019-07-17,"41,519,457,430",2.2%,"4,743,264","1,936","126,496"
13,나쁜 녀석들: 더 무비,2019-09-11,"39,560,195,124",2.1%,"4,573,902","1,511","113,938"
14,82년생 김지영,2019-10-23,"30,298,542,310",1.6%,"3,678,156","1,486","145,441"
15,분노의 질주: 홉스&쇼,2019-08-14,"32,241,767,793",1.7%,"3,657,536","1,311","94,896"
16,토이 스토리 4,2019-06-20,"28,758,452,040",1.5%,"3,400,034","1,336","85,875"
17,돈,2019-03-20,"28,870,244,062",1.5%,"3,389,125","1,431","120,809"
18,악인전,2019-05-15,"29,133,760,150",1.5%,"3,364,712","1,307","97,351"
19,가장 보통의 연애,2019-10-02,"24,885,803,430",1.3%,"2,924,563","1,073","111,527"
20,말모이,2019-01-09,"23,685,091,520",1.2%,"2,812,877","1,203","87,591"
21,증인,2019-02-13,"20,482,789,331",1.1%,"2,534,748","1,047","89,564"
22,시동,2019-12-18,"21,236,477,800",1.1%,"2,525,986","1,515","58,603"
23,블랙머니,2019-11-13,"20,863,134,010",1.1%,"2,478,964","1,141","77,469"
24,터미네이터: 다크 페이트,2019-10-30,"20,153,895,830",1.1%,"2,409,062","1,315","81,336"
25,사바하,2019-02-20,"20,007,508,194",1.0%,"2,398,519","1,174","78,096"
26,타짜: 원 아이드 잭,2019-09-11,"19,687,029,214",1.0%,"2,229,239","1,429","66,479"
27,신의 한 수: 귀수편,2019-11-07,"18,463,776,050",1.0%,"2,157,437","1,246","82,178"
28,알리타: 배틀 엔젤,2019-02-05,"18,571,455,667",1.0%,"1,952,063","1,043","52,666"
29,내안의 그놈,2019-01-09,"16,302,228,567",0.9%,"1,902,828","1,041","61,683"
30,뺑반,2019-01-30,"15,224,305,848",0.8%,"1,826,912","1,285","47,215"
31,변신,2019-08-21,"15,417,922,925",0.8%,"1,804,112",975,"63,211"
32,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,"13,877,029,723",0.7%,"1,754,375","1,453","56,412"
33,걸캅스,2019-05-09,"13,812,802,134",0.7%,"1,629,528",973,"63,163"
34,사자,2019-07-31,"12,931,566,145",0.7%,"1,611,163","1,405","47,683"
35,아쿠아맨,2018-12-19,"13,659,344,323",0.7%,"1,546,297","1,158","50,500"
36,드래곤 길들이기 3,2019-01-30,"12,346,432,876",0.6%,"1,507,922",971,"42,407"
37,나의 특별한 형제,2019-05-01,"12,081,618,074",0.6%,"1,478,156",936,"49,927"
38,어스,2019-03-27,"12,586,771,104",0.7%,"1,475,087","1,132","58,522"
39,말레피센트 2,2019-10-17,"12,191,395,690",0.6%,"1,444,952","1,108","63,768"
40,유열의 음악앨범,2019-08-28,"10,233,455,040",0.5%,"1,245,532","1,078","59,626"
41,퍼펙트맨,2019-10-02,"10,311,352,770",0.5%,"1,240,022",894,"50,055"
42,포드 V 페라리,2019-12-04,"10,612,013,680",0.6%,"1,208,407",986,"40,175"
43,생일,2019-04-03,"9,885,147,340",0.5%,"1,197,565",878,"71,797"
44,"힘을 내요, 미스터 리",2019-09-11,"9,930,518,906",0.5%,"1,181,960",990,"41,831"
45,항거:유관순 이야기,2019-02-27,"9,291,455,101",0.5%,"1,157,949","1,094","46,159"
46,장사리 : 잊혀진 영웅들,2019-09-25,"8,997,921,050",0.5%,"1,140,876","1,090","47,821"
47,마이펫의 이중생활 2,2019-07-31,"8,512,902,825",0.4%,"1,114,949",933,"30,858"
48,롱 리브 더 킹: 목포 영웅,2019-06-19,"9,228,798,910",0.5%,"1,094,404",965,"38,839"
49,쥬만지: 넥스트 레벨,2019-12-11,"8,774,663,410",0.5%,"1,054,963","1,195","42,083"
